"TAG","MODELO","OM","DATA","ÁREA DE INSPEÇÃO","HORÍMETRO","Analista Técnico","LADO","RODA GUIA","ELO","MOTRIZ(3 GARRAS)","ROLETE SUPERIOR 1","ROLETE SUPERIOR 2","ROLETE SUPERIOR 3","ROLETE SUPERIOR 4","ROLETE SUPERIOR 5","SAPATA","PASSO DA ESTEIRA","BUCHA","ROLETE INFERIOR","ROLETES DANIFICADOS (VISUAL)."
"PZ1001SA42","Pit Viper/DR416i","202505940195","12/5/2025","FASE 6","21,830","BRUNO SILVA","LNC(lado não cabine)","24","154","278","258","188","188","188","188","75","1,047","13.5","69","2"
"1101PF1601","Pit Viper/DR416i","202506290276","12/12/2025","FASE 6","10,567","BRUNO SILVA","LC (lado cabine)","29","154","276","188","188","188","188","188","80","1,046","13.8","70","0"
"1101PF1601","Pit Viper/DR416i","202506290276","12/12/2025","FASE 6","10,567","BRUNO SILVA","LNC(lado não cabine)","24","154","276","189","188","188","188","188","81","1,046","13.6","70","4"
"PZ1001SA02","Pit Viper/DR416i","202506206198","12/11/2025","FASE 5","47,155","BRUNO SILVA","LC (lado cabine)","24","152","279","188","188","188","187","187","79","1,047","13.7","69","0"
"PZ1001SA02","Pit Viper/DR416i","202506206198","12/11/2025","FASE 5","47,155","BRUNO SILVA","LNC(lado não cabine)","24","153","276","188","188","187","187","187","79","1,047","13.7","69.2","0"
"PZ1001SA41","Pit Viper/DR416i","202506206025","12/15/2025","PÁTIO 320","27,756","BRUNO SILVA","LC (lado cabine)","24","154","279","257","188","188","188","188","79","1,047","13.8","69.4","1"
"PZ1001SA41","Pit Viper/DR416i","202506206025","12/15/2025","PÁTIO 320","27,756","BRUNO SILVA","LNC(lado não cabine)","23","154","279","258","188","188","188","188","77","1,046","13.8","69.5","0"
"PZ1001SA14","Pit Viper/DR416i","202506060128","12/16/2025","FASE 6","42,032","BRUNO SILVA","LC (lado cabine)","23","154","276","187","187","187","187","187","81","1,045","13.6","69.3","3"
"PZ1001SA14","Pit Viper/DR416i","202506060128","12/16/2025","FASE 6","42,032","BRUNO SILVA","LNC(lado não cabine)","22.5","155","274","187","187","187","187","187","79","1,045","13.6","69","0"
"PZ1001SA35","Pit Viper/DR416i","202506293112","12/16/2025","PÁTIO METSO","21,784","BRUNO SILVA","LC (lado cabine)","23","155","278","187","187","188","186","186","79","1,046","13.8","69.6","0"
"PZ1001SA35","Pit Viper/DR416i","202506293112","12/16/2025","PÁTIO METSO","21,784","BRUNO SILVA","LNC(lado não cabine)","23","155","278","188","188","188","188","188","82","1,046","13.8","69.1","0"
"PZ1001SA22","FlexiROC D65","202506052520","12/16/2025","FASE 5","18,391","BRUNO SILVA","LC (lado cabine)","19","87","184","95",,,,,"22","689","8","42.2","0"
"PZ1001SA22","FlexiROC D65","202506052520","12/16/2025","FASE 5","18,391","BRUNO SILVA","LNC(lado não cabine)","19","87","185","97",,,,,"22","688","8","42.3","0"
"PZ1001SA43","Pit Viper/DR416i","202506293112","12/18/2025","CAVA MINA","12,780","BRUNO SILVA","LC (lado cabine)","24","154","276","188","188","188","188","188","83","1,045","13.8","72.6","2"
"PZ1001SA43","Pit Viper/DR416i","202506293112","12/18/2025","CAVA MINA","12,780","BRUNO SILVA","LNC(lado não cabine)","24","154","275","187","189","189","188","188","81","1,045","13.8","72.4","0"
"PZ1001SA23","FlexiROC D65","202506308180","12/29/2025","FASE 6","15,984","BRUNO SILVA","LC (lado cabine)","18","88","186","98","0","0","0","0","23","691","7.9","42.5","0"
"PZ1001SA23","FlexiROC D65","202506308180","12/29/2025","FASE 6","15,984","BRUNO SILVA","LNC(lado não cabine)","18","87","185","98","0","0","0","0","20","691","7.9","42.8","0"
"1101PF1803","Pit Viper/DR416i","202506584816","12/30/2025","FASE 5","51,141","BRUNO SILVA","LC (lado cabine)","33","152","277","188","188","188","188","187","81","1,047","13.8","69","0"
"1101PF1803","Pit Viper/DR416i","202506584816","12/30/2025","FASE 5","51,141","BRUNO SILVA","LNC(lado não cabine)","31.5","154","277","188","188","188","188","188","81","1,047","13.8","69","0"
"PZ1001SA15","Pit Viper/DR416i","202506786753","1/12/2026","FASE 6","41,964","BRUNO SILVA","LC (lado cabine)","32","154","276","196","196","196","196","196","82","1,047","13.4","69.5","3"
"PZ1001SA15","Pit Viper/DR416i","202506786753","1/12/2026","FASE 6","41,964","BRUNO SILVA","LNC(lado não cabine)","32","154","276","196","196","196","196","196","82","1,048","13.4","69.6","4"
"PZ1001SA03","Pit Viper/DR416i","202506671845","1/13/2026","PÁTIO METSO","40,802","BRUNO SILVA","LC (lado cabine)","24","155","282","189","189","189","189","188","83","1,047","13.5","73.8","2"
"PZ1001SA03","Pit Viper/DR416i","202506671845","1/13/2026","PÁTIO METSO","40,802","BRUNO SILVA","LNC(lado não cabine)","24","155","282","190","190","190","190","190","85","1,045","14","73.9","0"
"1101PF1601","Pit Viper/DR416i","202506842969","1/16/2026","PÁTIO 320","11,061","BRUNO SILVA","LC (lado cabine)","30","152","275","188","188","188","188","188","80","1,047","13.7","70","0"
"1101PF1601","Pit Viper/DR416i","202506842969","1/16/2026","PÁTIO 320","11,061","BRUNO SILVA","LNC(lado não cabine)","27","154","275","189","188","188","188","188","80","1,047","13.6","70","4"
"PZ1001SA44","Pit Viper/DR416i","202600058022","1/19/2026","FASE 5","12,380","BRUNO SILVA","LC (lado cabine)","34","153","278","189","189","189","189","189","84","1,046","13.7","69","9"
"PZ1001SA44","Pit Viper/DR416i","202600058022","1/19/2026","FASE 5","12,380","BRUNO SILVA","LNC(lado não cabine)","32","151","277","189","189","189","189","189","84","1,047","13.7","69","5"
"PZ1001SA02","Pit Viper/DR416i","202600061566","1/22/2026","FASE 6","47,747","BRUNO SILVA","LC (lado cabine)","24","153","278","188","188","188","187","187","79","1,047","13.6","69","0"
"PZ1001SA02","Pit Viper/DR416i","202600061566","1/22/2026","FASE 6","47,747","BRUNO SILVA","LNC(lado não cabine)","24","153","278","188","188","187","187","187","79","1,047","13.6","69","0"
"PZ1001SA14","Pit Viper/DR416i","202506710240","1/27/2026","FASE 6","42,634","BRUNO SILVA","LC (lado cabine)","23","155","276","187","187","187","187","187","81","1,047","13.5","69","3"
"PZ1001SA14","Pit Viper/DR416i","202506710240","1/27/2026","FASE 6","42,634","BRUNO SILVA","LNC(lado não cabine)","23","155","276","187","187","187","187","187","79","1,047","13.5","69","0"
"PZ1001SA23","FlexiROC D65","202600277449
","1/28/2026","FASE 6","16,348","BRUNO SILVA","LC (lado cabine)","20","88","186","98",,,,,"18","692","7.8","42.4","0"
"PZ1001SA23","FlexiROC D65","202600277449
","1/28/2026","FASE 6","16,348","BRUNO SILVA","LNC(lado não cabine)","19","88","185","98",,,,,"20","692","7.8","42.8","0"
"PZ1001SA43","Pit Viper/DR416i","202600194998","1/28/2026","FASE 6","13,287","BRUNO SILVA","LC (lado cabine)","26","154","276","188","188","188","188","188","83","1,045","13.7","72","2"
"PZ1001SA43","Pit Viper/DR416i","202600194998","1/28/2026","FASE 6","13,287","BRUNO SILVA","LNC(lado não cabine)","24","154","276","187","188","188","188","188","78","1,045","13.7","72","0"
"1101PF1803","Pit Viper/DR416i","202600064971","1/27/2026","FASE 5","51,431","BRUNO SILVA","LC (lado cabine)","35","149","276","188","188","188","188","187","81","1,047","13.7","68","0"
"1101PF1803","Pit Viper/DR416i","202600064971","1/27/2026","FASE 5","51,431","BRUNO SILVA","LNC(lado não cabine)","32","154","276","188","188","188","188","188","81","1,047","13.7","68","0"
"PZ1001SA21","FlexiROC D65","202600157749","1/29/2026","FASE 5","17,740","BRUNO SILVA","LC (lado cabine)","18","88","186","97","0","0","0","0","23","688","7.9","41.8","0"
"PZ1001SA21","FlexiROC D65","202600157749","1/29/2026","FASE 5","17,740","BRUNO SILVA","LNC(lado não cabine)","18","88","185","98","0","0","0","0","23","688","7.9","41.8","0"
"PZ1001SA21","FlexiROC D65","202600157749","1/29/2026","FASE 5","17,740","BRUNO SILVA","LC (lado cabine)","18","88","186","97","0","0","0","0","23","688","7.9","41.8","0"
"PZ1001SA37","Pit Viper/DR416i","202600058673","1/30/2026","FASE 5",,"BRUNO SILVA","LC (lado cabine)","23.5","154","274","189","189","189","189","189","75","1,046","13.5","69.6","11"
"PZ1001SA37","Pit Viper/DR416i","202600058673","1/30/2026","FASE 5",,"BRUNO SILVA","LNC(lado não cabine)","23.5","154","278","189","189","189","189","189","78","1,045","13.5","69.7","4"
"PZ1001SA35","Pit Viper/DR416i","202600196146","1/30/2026","PÁTIO 320","22,279","BRUNO SILVA","LC (lado cabine)","24","154","277","187","187","188","189","186","79","1,046","13.7","69.5","0"
"PZ1001SA35","Pit Viper/DR416i","202600196146","1/30/2026","PÁTIO 320","22,279","BRUNO SILVA","LNC(lado não cabine)","24","154","277","188","188","188","188","188","81","1,046","13.7","69","0"
"PZ1001SA22","FlexiROC D65","202600336582","2/11/2026","PÁTIO METSO","18,927","BRUNO SILVA","LC (lado cabine)","19","87","185","96",,,,,"22","689","8","41.9","0"
"PZ1001SA22","FlexiROC D65","202600336582","2/11/2026","PÁTIO METSO","18,927","BRUNO SILVA","LNC(lado não cabine)","19","87","185","96",,,,,"22","689","8","41.9","0"
,,,,,,,,,,,,,,,,,,,,"0"
"PZ1001SA41","Pit Viper/DR416i","202600471368","2/11/2026","FASE 7","28,382","BRUNO SILVA","LC (lado cabine)","24","154","278","257","188","188","188","188","79","1,047","13.8","69.3","0"
"PZ1001SA41","Pit Viper/DR416i","202600471368","2/11/2026","FASE 7","28,382","BRUNO SILVA","LNC(lado não cabine)","23","154","278","258","188","188","188","188","77","1,046","13.8","69.4","1"
"1101PF1601","Pit Viper/DR416i","202600619327","2/19/2026","PÁTIO METSO","11,659","BRUNO SILVA","LC (lado cabine)","30","152","274","188","188","188","188","188","80","1,047","13.6","70","6"
"1101PF1601","Pit Viper/DR416i","202600619327","2/19/2026","PÁTIO METSO","11,659","BRUNO SILVA","LNC(lado não cabine)","27","153","275","188","188","188","188","188","81","1,047","13.5","70","6"
"PZ1001SA15","Pit Viper/DR416i","202600618550","2/20/2026","PÁTIO 320","42,536","BRUNO SILVA","LC (lado cabine)","27","154","283","196","196","196","196","196","82","1,049","13.4","69","4"
"PZ1001SA15","Pit Viper/DR416i","202600618550","2/20/2026","PÁTIO 320","42,536","BRUNO SILVA","LNC(lado não cabine)","26","154","283","196","196","196","196","196","82","1,049","13.4","69","4"
